City,Date,Valid_AQI,Anomaly,Anomaly_Score,Is_Anomaly
Amaravati,2020-01-01,96.0,1,0.18688511998013618,False
Amaravati,2020-01-02,82.0,1,0.20178467807092776,False
Amaravati,2020-01-03,76.0,1,0.1915212610181517,False
Amaravati,2020-01-04,47.0,1,0.19433645230313235,False
Amaravati,2020-01-05,55.0,1,0.2238804351400866,False
Amaravati,2020-01-06,66.0,1,0.19389035060150667,False
Amaravati,2020-01-07,109.0,1,0.1748835945166336,False
Amaravati,2020-01-08,103.0,1,0.19191886747691,False
Amaravati,2020-01-09,78.0,1,0.22898656423414093,False
Amaravati,2020-01-10,70.0,1,0.20090014153387953,False
Amaravati,2020-01-11,110.0,1,0.19419823567947925,False
Amaravati,2020-01-12,147.0,1,0.1478979479980878,False
Amaravati,2020-01-13,177.0,1,0.09460852992992108,False
Amaravati,2020-01-14,168.0,1,0.15628197191848614,False
Amaravati,2020-01-15,163.0,1,0.15807025553217935,False
Amaravati,2020-01-16,108.0,1,0.19467864830911552,False
Amaravati,2020-01-17,82.0,1,0.21900127671848896,False
Amaravati,2020-01-18,60.0,1,0.2289311592420049,False
Amaravati,2020-01-19,58.0,1,0.21834391290616434,False
Amaravati,2020-01-20,62.0,1,0.23769314881652653,False
Amaravati,2020-01-21,63.0,1,0.23826492728146348,False
Amaravati,2020-01-22,63.0,1,0.2277781808640323,False
Amaravati,2020-01-23,87.0,1,0.206520122275604,False
Amaravati,2020-01-24,101.0,1,0.1784539928327457,False
Amaravati,2020-01-25,98.0,1,0.1972657799524452,False
Amaravati,2020-01-26,77.0,1,0.215716746300178,False
Amaravati,2020-01-27,74.0,1,0.21687919088779933,False
Amaravati,2020-01-28,65.0,1,0.20865452660062517,False
Amaravati,2020-01-29,59.0,1,0.23354620736469422,False
Amaravati,2020-01-30,59.0,1,0.2309383759094727,False
Amaravati,2020-01-31,66.0,1,0.22144637703046294,False
Amaravati,2020-02-01,52.0,1,0.21463566723707767,False
Amaravati,2020-02-02,47.0,1,0.22890925777509186,False
Amaravati,2020-02-03,48.0,1,0.22500449785763932,False
Amaravati,2020-02-04,54.0,1,0.22919095446835808,False
Amaravati,2020-02-05,54.0,1,0.2052104545032412,False
Amaravati,2020-02-06,47.0,1,0.22834050127868305,False
Amaravati,2020-02-07,44.0,1,0.20130007646344955,False
Amaravati,2020-02-08,45.0,1,0.18038434395581726,False
Amaravati,2020-02-09,51.0,1,0.2120357163056969,False
Amaravati,2020-02-10,65.0,1,0.2061550927776573,False
Amaravati,2020-02-11,70.0,1,0.19029824863991868,False
Amaravati,2020-02-12,86.0,1,0.18213267727299892,False
Amaravati,2020-02-13,110.0,1,0.12325910361807124,False
Amaravati,2020-02-14,87.0,1,0.1882955501209519,False
Amaravati,2020-02-15,103.0,1,0.14664514156073494,False
Amaravati,2020-02-16,88.0,1,0.22634601507957847,False
Amaravati,2020-02-17,66.0,1,0.20870516019396723,False
Amaravati,2020-02-18,66.0,1,0.2035932906711556,False
Amaravati,2020-02-19,65.0,1,0.20929233041775103,False
Amaravati,2020-02-20,77.0,1,0.1954462871835554,False
Amaravati,2020-02-21,74.0,1,0.2250877801045929,False
Amaravati,2020-02-22,60.0,1,0.20678882118947833,False
Amaravati,2020-02-23,82.0,1,0.23212318450582925,False
Amaravati,2020-02-24,68.0,1,0.2133301052909975,False
Amaravati,2020-02-25,53.0,1,0.21857662504840397,False
Amaravati,2020-02-26,78.0,1,0.2095506311144847,False
Amaravati,2020-02-27,73.0,1,0.18346756174333073,False
Amaravati,2020-02-28,68.0,1,0.17494432183590608,False
Amaravati,2020-02-29,65.0,1,0.19431793445621925,False
Amaravati,2020-03-01,67.0,1,0.18532253370628032,False
Amaravati,2020-03-02,67.0,1,0.1665326114163786,False
Amaravati,2020-03-03,70.0,1,0.18418867993878069,False
Amaravati,2020-03-04,66.0,1,0.21787453826104114,False
Amaravati,2020-03-05,47.0,1,0.19971232304127862,False
Amaravati,2020-03-06,36.0,1,0.18121773061805563,False
Amaravati,2020-03-07,35.0,1,0.19740551004366957,False
Amaravati,2020-03-08,35.0,1,0.10923667628622291,False
Amaravati,2020-03-09,42.0,1,0.17982835550623927,False
Amaravati,2020-03-10,35.0,1,0.13632633548216155,False
